objectID,title,department,objectName,classification,medium,isPublicDomain,best_image_url,primaryImage_exists,primaryImageSmall_exists,additionalImages_count
448070,Textile Fragment,Islamic Art,Textile fragment,Textiles-Embroidered,Cotton; embroidered,True,https://images.metmuseum.org/CRDImages/is/web-large/69054.jpg,True,True,0
437650,Madonna and Child,European Paintings,"Painting, part of a polyptych",Paintings,"Tempera on wood, gold ground",True,https://images.metmuseum.org/CRDImages/ep/web-large/DP333087.jpg,True,True,0
786448,The Pleasures of Imagination,Drawings and Prints,Print,Prints,Mezzotint,True,https://images.metmuseum.org/CRDImages/dp/web-large/DP880237.jpg,True,True,0
291767,"[Smiling, Nude Baby Holding Foot, Seated on Furniture Draped with Floral Print Fabric]",Photographs,Daguerreotype,Photographs,Daguerreotype with applied color,True,https://images.metmuseum.org/CRDImages/ph/web-large/DP700036.jpg,True,True,2
786452,"Costume of Hogs Norton, How a Man May Shoot His Own Wig, and The Maid of Mim",Drawings and Prints,Print,Prints,Hand-colored etching,True,https://images.metmuseum.org/CRDImages/dp/web-large/DP883672.jpg,True,True,0
38,Figure of Admiral Samuel Hood,The American Wing,Figure,,"Earthenware, basalt",True,https://images.metmuseum.org/CRDImages/ad/web-large/DP247753.jpg,True,True,1
437652,The Virgin Adoring the Child with the Infant Saint John the Baptist,European Paintings,Painting,Paintings,Tempera and gold on wood,True,https://images.metmuseum.org/CRDImages/ep/web-large/DP-42550-001.jpg,True,True,0
750260,Terracotta fragment of a lekanis lid (covered dish),Greek and Roman Art,Lekanis lid fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11935_1_ff.jpg,True,True,1
448074,Textile Fragment,Islamic Art,Textile fragment,Textiles-Woven,"Linen, silk",True,https://images.metmuseum.org/CRDImages/is/web-large/LC-27_170_30.jpg,True,True,1
750261,Terracotta fragment of a lekanis lid (covered dish),Greek and Roman Art,Lekanis lid fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB11934_1_ff.jpg,True,True,1
134,"Architectural elements from a Retiring Room in the North Family Dwelling American, New Lebanon, New York",The American Wing,Bedroom,,Wood,True,https://images.metmuseum.org/CRDImages/ad/web-large/DP263972.jpg,True,True,9
719002,Terracotta fragment of a kylix (drinking cup),Greek and Roman Art,Kylix fragment,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB13517_1_ff.jpg,True,True,1
180,Armchair,The American Wing,Armchair,,"Primary: mahogany.  Secondary: cherry (medial braces); mahogany (front braces) ; white pine (rear braces, top and bottom edges slightly chamfered); maple (slip seat).",True,https://images.metmuseum.org/CRDImages/ad/web-large/52524.jpg,True,True,0
202,Spindle-back armchair,The American Wing,Armchair,,"Maple, soft maple, ash",True,https://images.metmuseum.org/CRDImages/ad/web-large/85B_ACF104R7.jpg,True,True,3
437658,"Study for ""A Sunday on La Grande Jatte""",European Paintings,Painting,Paintings,Oil on canvas,True,https://images.metmuseum.org/CRDImages/ep/web-large/DP259921.jpg,True,True,0
750265,Terracotta fragment of lekanis (covered dish)?,Greek and Roman Art,Lekanis fragment?,Vases,Terracotta,True,https://images.metmuseum.org/CRDImages/gr/web-large/DVB12308_1_ff.jpg,True,True,1
479339,Papyrus Fragment of a Letter,Medieval Art,Fragment,Papyrus,Papyrus and ink,True,https://images.metmuseum.org/CRDImages/md/web-large/cop0907s1.jpg,True,True,0
225,Folding Armchair,The American Wing,Folding armchair,,"Maple, steel mesh",True,https://images.metmuseum.org/CRDImages/ad/web-large/235588.jpg,True,True,1
