frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group,selected,reject_reason,reject_detail
79109,2026-05-04T14:34:11.245141,1777919651.2451406,5400.123113870621,38473,1950,369,343,366,340,6,7,18.5,144.11135704478397,biwa,1,,
79110,2026-05-04T14:34:11.309162,1777919651.3091624,5400.187135696411,38474,1951,369,343,366,340,6,7,20.0,144.11135704478397,biwa,1,,
79111,2026-05-04T14:34:11.390083,1777919651.3900828,5400.268056154251,38475,1952,369,343,366,340,7,7,20.5,144.11135704478397,biwa,1,,
79367,2026-05-04T14:34:28.829599,1777919668.829599,5417.707572221756,38476,1953,367,330,364,326,7,8,12.5,141.65920726613683,biwa,1,,
79368,2026-05-04T14:34:28.893478,1777919668.8934777,5417.771450996399,38477,1954,365,330,360,326,11,8,22.0,142.30575953331083,biwa,1,,
79369,2026-05-04T14:34:28.957762,1777919668.9577618,5417.835735082626,38478,,365,326,358,318,14,17,54.0,141.27433455708183,biwa,0,area_over_max,area=54.0 > MAX_AREA=40
79369,2026-05-04T14:34:28.957762,1777919668.9577618,5417.835735082626,38479,1955,363,313,361,310,5,7,8.0,138.2519456003639,biwa,1,,
79370,2026-05-04T14:34:29.037329,1777919669.0373294,5417.9153027534485,38480,,372,333,368,330,8,6,10.0,140.84892164592895,biwa,0,too_close_to_selected,min_dist=8.1 < MIN_DIST_BETWEEN=400
79370,2026-05-04T14:34:29.037329,1777919669.0373294,5417.9153027534485,38481,1956,364,332,359,326,10,12,38.0,143.13010235415595,biwa,1,,
79371,2026-05-04T14:34:29.101967,1777919669.101967,5417.979940414429,38482,,367,329,359,322,17,14,51.5,141.40435272638416,biwa,0,area_over_max,area=51.5 > MAX_AREA=40
79371,2026-05-04T14:34:29.101967,1777919669.101967,5417.979940414429,38483,1957,366,316,364,314,5,5,8.5,138.144957464698,biwa,1,,
79372,2026-05-04T14:34:29.166126,1777919669.1661265,5418.044099807739,38484,1958,364,330,359,326,10,9,29.5,142.63333058723128,biwa,1,,
79372,2026-05-04T14:34:29.166126,1777919669.1661265,5418.044099807739,38485,,368,324,364,322,9,5,10.0,139.76364169072622,biwa,0,no_slots_after_selection,max=6
79373,2026-05-04T14:34:29.230453,1777919669.2304535,5418.108426809311,38486,,369,343,366,339,7,9,22.0,144.11135704478397,biwa,0,no_slots_existing,"active_rects=6, max=6"
79373,2026-05-04T14:34:29.230453,1777919669.2304535,5418.108426809311,38487,,364,330,361,327,6,6,12.5,142.63333058723128,biwa,0,no_slots_existing,"active_rects=6, max=6"
79374,2026-05-04T14:34:29.310677,1777919669.310677,5418.188650369644,38488,,369,342,366,336,7,12,29.0,143.8889424784245,biwa,0,no_slots_existing,"active_rects=6, max=6"
79375,2026-05-04T14:34:29.374159,1777919669.3741593,5418.25213265419,38489,,380,341,378,338,4,6,11.5,140.42809718611073,biwa,0,no_slots_existing,"active_rects=6, max=6"
