frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group,selected,reject_reason,reject_detail,t_str,cluster_size,in_anomaly,iei_prev,iei_prev2,density_1s,density_3s,density_10s,density_60s,recent_cv_5s,burst_score,n_same_group_3s,grp_biwa,grp_kakko,grp_koto,grp_shoko,grp_taiko,cluster,cluster_label,sml
523,2026-05-04T13:04:47.836432,1777914287.8364315,36.32005333900452,5336,1.0,338,153,336,151,4,5,-0.191847777615231,40.881810296011224,biwa,1,,,00:36.320,1,False,-0.517157882084229,,-0.8968756364894584,-1.037767368907932,-1.1773021450810846,-2.057053985234896,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,True,False,False,False,False,0,baseline,?
1074,2026-05-04T13:05:25.387271,1777914325.3872714,73.87089323997498,5337,2.0,314,122,310,120,8,4,-0.2376165467140651,19.133643205905457,biwa,1,,,01:13.871,8,False,4.725729105669496,,-0.8968756364894584,-1.037767368907932,-1.1773021450810846,-1.9421380436342008,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,True,False,False,False,False,0,baseline,L
1082,2026-05-04T13:05:25.931485,1777914325.9314852,74.41510701179504,5345,,314,123,310,121,8,4,-0.1003102394175629,19.316352819504175,biwa,0,no_slots_existing,"active_rects=6, max=6",01:14.415,8,False,-0.4411741940933228,-37.00662612915039,0.1120802060731674,-0.6084837067119415,-0.9134493982209164,-1.8272221020335055,-0.633222859440811,1.647370167615892,-0.4277640115732564,True,False,False,False,False,2,isolated_burst,M
1090,2026-05-04T13:05:26.475841,1777914326.4758413,74.95946311950684,5353,,314,122,310,120,8,5,-0.1003102394175629,19.133643205905457,biwa,0,no_slots_existing,"active_rects=6, max=6",01:14.959,8,False,-0.4411543210093498,0.0001423358917236,0.1120802060731674,-0.1792000445159513,-0.6495966513607481,-1.7123061604328105,-0.633222859440811,1.6473569014713485,0.0876085555974285,True,False,False,False,False,0,baseline,M
1098,2026-05-04T13:05:27.019536,1777914327.0195365,75.50315833091736,5361,,312,122,310,120,5,5,-0.191847777615231,18.083445383048684,biwa,0,global_suppression,suppress_until=1777914327.968,01:15.503,1,False,-0.4412465960324203,-0.0006608963012695,0.1120802060731674,0.2500836176800389,-0.3857439045005799,-1.597390218832115,-0.6328282628811599,0.7629502132697186,0.6029811227681134,True,False,False,False,False,0,baseline,M
1206,2026-05-04T13:05:34.379814,1777914334.3798144,82.86343622207642,5362,8.0,425,165,422,162,6,7,-0.0545414703187288,69.22774531795415,biwa,1,,,01:22.863,1,False,0.5104917066753545,6.816582679748535,-0.8968756364894584,-1.037767368907932,-0.1218911576404117,-1.4824742772314194,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,True,False,False,False,False,0,baseline,L
1224,2026-05-04T13:05:35.612070,1777914335.6120698,84.0956916809082,5363,9.0,190,330,185,326,11,9,0.4031462206696118,219.28940686250033,koto,1,,,01:24.096,2,False,-0.3451091042743162,-6.1280224323272705,-0.8968756364894584,-0.6084837067119415,-0.1218911576404117,-1.3675583356307242,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,False,False,True,False,False,3,small_burst,L
1268,2026-05-04T13:05:38.619243,1777914338.619243,87.10286474227905,5365,11.0,265,377,262,375,6,4,-0.191847777615231,185.4575534851046,taiko,1,,,01:27.103,5,False,-0.0972932783905763,1.7749176025390625,-0.8968756364894584,-1.037767368907932,-0.6495966513607481,-1.2526423940300289,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,False,False,False,False,True,0,baseline,L
1288,2026-05-04T13:05:39.979748,1777914339.9797475,88.46336936950684,5370,16.0,447,303,444,301,7,5,-0.1460790085163969,116.42765148959272,biwa,1,,,01:28.463,8,False,-0.3272028231379461,-1.6466684341430664,-0.8968756364894584,-0.6084837067119415,-0.3857439045005799,-1.1377264524293331,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,True,False,False,False,False,0,baseline,L
1296,2026-05-04T13:05:40.523876,1777914340.523876,89.00749778747559,5378,,448,303,446,300,5,7,-0.1003102394175629,116.29156504641116,biwa,0,global_suppression,suppress_until=1777914341.519,01:29.007,1,False,-0.441186111286057,-0.8163762092590332,0.1120802060731674,-0.1792000445159513,-0.1218911576404117,-1.022810510828638,0.5045373975154342,0.3207457636633066,-0.4277640115732564,True,False,False,False,False,0,baseline,M
1311,2026-05-04T13:05:41.547658,1777914341.5476582,90.03128004074097,5379,,452,302,450,300,5,5,-0.191847777615231,115.48920055628672,biwa,0,global_suppression,suppress_until=1777914342.480,01:30.031,2,False,-0.3742163482039299,0.4796538352966308,-0.8968756364894584,0.2500836176800389,0.1419615892197565,-0.9078945692279428,0.6603002926044637,-1.0058720072004246,0.0876085555974285,True,False,False,False,False,0,baseline,L
1385,2026-05-04T13:05:46.588233,1777914346.588233,95.0718548297882,5381,17.0,262,265,259,262,6,7,0.2200711442742755,201.80140948635184,shoko,1,,,01:35.072,8,False,0.1866123675823358,4.016792535781846,-0.8968756364894584,-1.037767368907932,-0.1218911576404117,-0.7929786276272474,-0.633222859440811,-1.0058720072004246,-0.9431365787439412,False,False,False,True,False,0,baseline,L
1393,2026-05-04T13:05:47.131782,1777914347.1317816,95.61540341377258,5389,,260,268,258,264,5,8,-0.0316570857693117,202.61986494804043,shoko,0,no_slots_existing,"active_rects=6, max=6",01:35.615,8,False,-0.4412670683048528,-4.497026205062838,0.1120802060731674,-0.6084837067119415,0.1419615892197565,-0.6780626860265521,-0.633222859440811,0.0554227401366074,-0.4277640115732564,False,False,False,True,False,0,baseline,M
1401,2026-05-04T13:05:47.675417,1777914347.6754174,96.15903925895692,5397,,260,267,258,264,5,7,-0.0545414703187288,203.051300916473,shoko,0,no_slots_existing,"active_rects=6, max=6",01:36.159,8,False,-0.4412548848061357,8.726119995117188e-05,0.1120802060731674,-0.1792000445159513,0.4058143360799247,-0.5631467444258567,-0.633222859440811,-0.1214594229492926,0.0876085555974285,False,False,False,True,False,0,baseline,M
1409,2026-05-04T13:05:48.219869,1777914348.2198691,96.70349097251892,5405,,260,267,258,264,5,6,-0.1003102394175629,203.051300916473,shoko,0,global_suppression,suppress_until=1777914349.216,01:36.703,8,False,-0.4411409724219595,0.0008158683776571,0.1120802060731674,0.2500836176800389,0.6696670829400929,-0.5631467444258567,-0.6329806376903443,-0.2478038973502052,0.6029811227681134,False,False,False,True,False,0,baseline,M
1417,2026-05-04T13:05:48.763742,1777914348.7637424,97.24736428260805,5413,,260,268,258,266,5,5,-0.168963393065814,202.61986494804043,shoko,0,global_suppression,suppress_until=1777914349.424,01:37.247,8,False,-0.4412217297112662,-0.0005784034728719,0.1120802060731674,0.6793672798760292,0.6696670829400929,-0.4482308028251613,-0.6309660003279378,-0.2478038973502052,1.1183536899387982,False,False,False,True,False,0,baseline,M
1424,2026-05-04T13:05:49.242733,1777914349.2427328,97.72635459899902,5420,,215,385,212,383,6,4,-0.214732162164648,201.5014343240479,shoko,0,global_suppression,suppress_until=1777914349.424,01:37.726,1,False,-0.4502807601959009,-0.0648829936981485,0.1120802060731674,1.1086509420720194,0.933519829800261,-0.333314861224466,-0.6312683141316788,-0.3425622926334886,1.633726257109483,False,False,False,True,False,0,baseline,M
1427,2026-05-04T13:05:49.451471,1777914349.4514706,97.93509244918825,5424,23.0,260,267,258,264,5,7,0.0827648369777733,203.051300916473,shoko,1,,,01:37.935,8,False,-0.4880136881994876,-0.2702524662017538,1.121036048635793,1.5379346042680095,1.1973725766604293,-0.2183989196237706,-0.4856751443309409,0.1733454269207892,2.149098824280168,False,False,False,True,False,0,baseline,S
1433,2026-05-04T13:05:49.852454,1777914349.852454,98.33607578277588,5430,,260,267,258,264,5,6,-0.1003102394175629,203.051300916473,shoko,0,no_slots_existing,"active_rects=6, max=6",01:38.336,8,False,-0.4611721755722855,0.192245483398409,1.121036048635793,1.5379346042680095,1.4612253235205974,-0.1034829780230753,0.1406942928176215,0.0554238014302935,2.149098824280168,False,False,False,True,False,0,baseline,M
1442,2026-05-04T13:05:50.475578,1777914350.4755778,98.95919966697691,5438,,260,268,258,265,5,6,-0.214732162164648,202.61986494804043,shoko,0,no_slots_existing,"active_rects=6, max=6",01:38.959,1,False,-0.4301566828340429,0.2221405506134033,0.1120802060731674,1.5379346042680095,1.4612253235205974,0.01143296357762,0.1200603080435096,-0.4752241028850654,2.149098824280168,False,False,False,True,False,0,baseline,M
