frame_idx,iso_time,timestamp,t_rel,event_id,selected_event_id,cx,cy,x,y,w,h,area,angle,group,selected,reject_reason,reject_detail,t_str,cluster_size,in_anomaly
523,2026-05-04T13:04:47.836432,1777914287.8364315,36.32005333900452,5336,1.0,338,153,336,151,4,5,9.0,40.881810296011224,biwa,1,,,00:36.320,1,False
1074,2026-05-04T13:05:25.387271,1777914325.3872714,73.87089323997498,5337,2.0,314,122,310,120,8,4,8.0,19.133643205905457,biwa,1,,,01:13.871,8,False
1206,2026-05-04T13:05:34.379814,1777914334.3798144,82.86343622207642,5362,8.0,425,165,422,162,6,7,12.0,69.22774531795415,biwa,1,,,01:22.863,1,False
1224,2026-05-04T13:05:35.612070,1777914335.6120698,84.0956916809082,5363,9.0,190,330,185,326,11,9,22.0,219.28940686250033,koto,1,,,01:24.096,2,False
1268,2026-05-04T13:05:38.619243,1777914338.619243,87.10286474227905,5365,11.0,265,377,262,375,6,4,9.0,185.4575534851046,taiko,1,,,01:27.103,5,False
1288,2026-05-04T13:05:39.979748,1777914339.9797475,88.46336936950684,5370,16.0,447,303,444,301,7,5,10.0,116.42765148959272,biwa,1,,,01:28.463,8,False
1385,2026-05-04T13:05:46.588233,1777914346.588233,95.07185482978821,5381,17.0,262,265,259,262,6,7,18.0,201.80140948635184,shoko,1,,,01:35.072,8,False
1427,2026-05-04T13:05:49.451471,1777914349.4514706,97.93509244918823,5424,23.0,260,267,258,264,5,7,15.0,203.051300916473,shoko,1,,,01:37.935,8,False
1602,2026-05-04T13:06:01.372005,1777914361.3720045,109.85562634468079,5439,29.0,382,203,380,201,5,5,9.5,80.53767779197437,biwa,1,,,01:49.856,2,False
1691,2026-05-04T13:06:07.435290,1777914367.4352896,115.91891145706177,5441,31.0,305,239,299,235,13,9,32.5,127.23483398157464,biwa,1,,,01:55.919,1,False
1733,2026-05-04T13:06:10.299663,1777914370.2996633,118.78328514099121,5442,32.0,330,207,328,205,5,5,8.5,75.42578380196124,biwa,1,,,01:58.783,2,False
1750,2026-05-04T13:06:11.451603,1777914371.4516027,119.93522453308105,5444,34.0,173,78,171,75,4,6,9.0,323.0012031801382,koto,1,,,01:59.935,1,False
1830,2026-05-04T13:06:16.907790,1777914376.9077902,125.39141201972961,5446,35.0,465,319,462,317,6,5,8.0,118.15280056353288,biwa,1,,,02:05.391,5,False
1838,2026-05-04T13:06:17.451299,1777914377.4512992,125.93492102622986,5451,40.0,461,326,458,324,6,4,9.5,120.35474828790116,biwa,1,,,02:05.935,5,False
1875,2026-05-04T13:06:19.979536,1777914379.9795363,128.46315813064575,5466,41.0,464,320,462,318,5,5,10.0,118.52311860631204,biwa,1,,,02:08.463,2,False
